train/loss_step,epoch,step,val/loss,val/average_precision,val/p@r=0.25,val/p@r=0.5,val/p@r=0.75,train/loss_epoch
0.6262472867965698,0,49,,,,,,
,0,61,0.5051582455635071,0.8186634182929993,0.8207885026931763,0.8131672739982605,0.7804322838783264,
,0,61,,,,,,0.6479737758636475
0.589875340461731,1,99,,,,,,
,1,123,0.5060620307922363,0.8329029083251953,0.85447758436203,0.8204667568206787,0.7903226017951965,
,1,123,,,,,,0.6104915738105774
0.6683268547058105,2,149,,,,,,
,2,185,0.5188687443733215,0.8437063694000244,0.8641509413719177,0.8309090733528137,0.7995337843894958,
,2,185,,,,,,0.5876056551933289
0.4780905246734619,3,199,,,,,,
,3,247,0.5180638432502747,0.8276024460792542,0.8576778769493103,0.8294010758399963,0.8061104416847229,
,3,247,,,,,,0.5660508275032043
0.5366459488868713,4,249,,,,,,
0.5203933119773865,4,299,,,,,,
,4,309,0.5506040453910828,0.8267582058906555,0.8609022498130798,0.8494423627853394,0.8099173307418823,
,4,309,,,,,,0.551074206829071
0.5238602161407471,5,349,,,,,,
,5,371,0.5605242848396301,0.8356871604919434,0.8740457892417908,0.8622641563415527,0.8089622855186462,
,5,371,,,,,,0.5371589064598083
0.8413301706314087,6,399,,,,,,
,6,433,0.6162222623825073,0.8316476345062256,0.8740457892417908,0.8494423627853394,0.8166666626930237,
,6,433,,,,,,0.5296138525009155
0.6692929267883301,7,449,,,,,,
,7,495,0.6865914463996887,0.8285801410675049,0.8641509413719177,0.8574109077453613,0.8032786846160889,
,7,495,,,,,,0.5309034585952759
0.6512932181358337,8,499,,,,,,
0.5457025766372681,8,549,,,,,,
,8,557,0.5733679533004761,0.8239030838012695,0.8740457892417908,0.8526119589805603,0.820574164390564,
,8,557,,,,,,0.5248358845710754
0.40319010615348816,9,599,,,,,,
,9,619,0.664513885974884,0.8222771286964417,0.8910505771636963,0.8526119589805603,0.8127962350845337,
,9,619,,,,,,0.520969808101654
0.8827382326126099,10,649,,,,,,
,10,681,0.576320469379425,0.8267119526863098,0.8875969052314758,0.8526119589805603,0.8118343353271484,
,10,681,,,,,,0.5209366679191589
0.6500824093818665,11,699,,,,,,
,11,743,0.6846386790275574,0.8200863599777222,0.89453125,0.8526119589805603,0.820574164390564,
,11,743,,,,,,0.5196681022644043
0.40801316499710083,12,749,,,,,,
0.439761221408844,12,799,,,,,,
,12,805,0.648466169834137,0.8324956297874451,0.9160000085830688,0.8671726584434509,0.8051643371582031,
,12,805,,,,,,0.5099413990974426
0.8175454139709473,13,849,,,,,,
,13,867,0.5713223218917847,0.8411323428153992,0.8980392217636108,0.8622641563415527,0.8225419521331787,
,13,867,,,,,,0.5089502930641174
0.5569267868995667,14,899,,,,,,
,14,929,0.636811375617981,0.8296102285385132,0.8980392217636108,0.8704761862754822,0.8195937871932983,
,14,929,,,,,,0.5051628351211548
0.4489552974700928,15,949,,,,,,
,15,991,0.7038062810897827,0.8221684694290161,0.9015747904777527,0.860640287399292,0.8118343353271484,
,15,991,,,,,,0.5100395679473877
0.512958288192749,16,999,,,,,,
0.5068795680999756,16,1049,,,,,,
,16,1053,0.7354784607887268,0.828337550163269,0.89453125,0.8622641563415527,0.8345499038696289,
,16,1053,,,,,,0.49946027994155884
0.4377741813659668,17,1099,,,,,,
,17,1115,0.7474848031997681,0.819084882736206,0.9196786880493164,0.8754789233207703,0.815695583820343,
,17,1115,,,,,,0.5064674019813538
